name,type,value,date
2019年,名侦探柯南,30,第71001
2018/12/14,大唐不断网,31,第70001
2018年,名侦探柯南 犯人犯泽先生,31,第70001
1996,犬夜叉（WIDE版）,31,第70001
2019年,名侦探柯南,31,第70001
2018年,化物语,31,第70001
2018年,名侦探柯南 犯人犯泽先生,32,第69001
1996,犬夜叉（WIDE版）,32,第69001
2019年,名侦探柯南,32,第69001
2018年,化物语,32,第69001
2019,妄想学生会,32,第69001
1996,犬夜叉（WIDE版）,33,第68001
2019年,名侦探柯南,33,第68001
2018年,化物语,33,第68001
2019,妄想学生会,33,第68001
2016,致不灭的你,33,第68001
2019年,名侦探柯南,34,第67001
2018年,化物语,34,第67001
2019,妄想学生会,34,第67001
2016,致不灭的你,34,第67001
1998年,全职猎人,34,第67001
2018年,化物语,35,第66001
2019,妄想学生会,35,第66001
2016,致不灭的你,35,第66001
1998年,全职猎人,35,第66001
2019,Back Street Girls后街女孩,35,第66001
2019,妄想学生会,36,第65001
2016,致不灭的你,36,第65001
1998年,全职猎人,36,第65001
2019,Back Street Girls后街女孩,36,第65001
2018年,笨女孩,36,第65001
2016,致不灭的你,37,第64001
1998年,全职猎人,37,第64001
2019,Back Street Girls后街女孩,37,第64001
2018年,笨女孩,37,第64001
2017-06-29,女子学院的男生,37,第64001
1998年,全职猎人,38,第63001
2019,Back Street Girls后街女孩,38,第63001
2018年,笨女孩,38,第63001
2017-06-29,女子学院的男生,38,第63001
2019,放开那个女巫,38,第63001
2019,Back Street Girls后街女孩,39,第62001
2018年,笨女孩,39,第62001
2017-06-29,女子学院的男生,39,第62001
2019,放开那个女巫,39,第62001
2011,鬼灯的冷彻,39,第62001
2018年,笨女孩,40,第61001
2017-06-29,女子学院的男生,40,第61001
2019,放开那个女巫,40,第61001
2011,鬼灯的冷彻,40,第61001
2014-12-19,凹凸世界,40,第61001
2017-06-29,女子学院的男生,41,第60001
2019,放开那个女巫,41,第60001
2011,鬼灯的冷彻,41,第60001
2014-12-19,凹凸世界,41,第60001
2012,终结的炽天使,41,第60001
2019,放开那个女巫,42,第59001
2011,鬼灯的冷彻,42,第59001
2014-12-19,凹凸世界,42,第59001
2012,终结的炽天使,42,第59001
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,42,第59001
2011,鬼灯的冷彻,43,第58001
2014-12-19,凹凸世界,43,第58001
2012,终结的炽天使,43,第58001
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,43,第58001
2001-08-07,境·界（死神）,43,第58001
2014-12-19,凹凸世界,44,第57001
2012,终结的炽天使,44,第57001
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,44,第57001
2001-08-07,境·界（死神）,44,第57001
2019年1月15日,百妖谱,44,第57001
2012,终结的炽天使,45,第56001
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,45,第56001
2001-08-07,境·界（死神）,45,第56001
2019年1月15日,百妖谱,45,第56001
2018年,渡君的XX即将崩坏,45,第56001
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,46,第55001
2001-08-07,境·界（死神）,46,第55001
2019年1月15日,百妖谱,46,第55001
2018年,渡君的XX即将崩坏,46,第55001
2011年5月号-2015年3月号,四月是你的谎言,46,第55001
2001-08-07,境·界（死神）,47,第54001
2019年1月15日,百妖谱,47,第54001
2018年,渡君的XX即将崩坏,47,第54001
2011年5月号-2015年3月号,四月是你的谎言,47,第54001
2019年,租借女友,47,第54001
2019年1月15日,百妖谱,48,第53001
2018年,渡君的XX即将崩坏,48,第53001
2011年5月号-2015年3月号,四月是你的谎言,48,第53001
2019年,租借女友,48,第53001
2017-04-19,很纯很暧昧,48,第53001
2018年,渡君的XX即将崩坏,49,第52001
2011年5月号-2015年3月号,四月是你的谎言,49,第52001
2019年,租借女友,49,第52001
2017-04-19,很纯很暧昧,49,第52001
2019年,机动奥特曼,49,第52001
2011年5月号-2015年3月号,四月是你的谎言,50,第51001
2019年,租借女友,50,第51001
2017-04-19,很纯很暧昧,50,第51001
2019年,机动奥特曼,50,第51001
2011-11-07,伪恋,50,第51001
2019年,租借女友,51,第50001
2017-04-19,很纯很暧昧,51,第50001
2019年,机动奥特曼,51,第50001
2011-11-07,伪恋,51,第50001
2018-02-19,阴阳师官方漫画,51,第50001
2017-04-19,很纯很暧昧,52,第49001
2019年,机动奥特曼,52,第49001
2011-11-07,伪恋,52,第49001
2018-02-19,阴阳师官方漫画,52,第49001
2015-07-01,镖人,52,第49001
2019年,机动奥特曼,53,第48001
2011-11-07,伪恋,53,第48001
2018-02-19,阴阳师官方漫画,53,第48001
2015-07-01,镖人,53,第48001
2019,欢迎来到实力至上主义的教室,53,第48001
2011-11-07,伪恋,54,第47001
2018-02-19,阴阳师官方漫画,54,第47001
2015-07-01,镖人,54,第47001
2019,欢迎来到实力至上主义的教室,54,第47001
2017,魔卡少女樱CLEARCARD篇,54,第47001
2018-02-19,阴阳师官方漫画,55,第46001
2015-07-01,镖人,55,第46001
2019,欢迎来到实力至上主义的教室,55,第46001
2017,魔卡少女樱CLEARCARD篇,55,第46001
2004-04,银魂,55,第46001
2015-07-01,镖人,56,第45001
2019,欢迎来到实力至上主义的教室,56,第45001
2017,魔卡少女樱CLEARCARD篇,56,第45001
2004-04,银魂,56,第45001
2010年,斗罗大陆,56,第45001
2019,欢迎来到实力至上主义的教室,57,第44001
2017,魔卡少女樱CLEARCARD篇,57,第44001
2004-04,银魂,57,第44001
2010年,斗罗大陆,57,第44001
2019年,文豪野犬,57,第44001
2017,魔卡少女樱CLEARCARD篇,58,第43001
2004-04,银魂,58,第43001
2010年,斗罗大陆,58,第43001
2019年,文豪野犬,58,第43001
1997年4月－连载中,精灵宝可梦,58,第43001
2004-04,银魂,59,第42001
2010年,斗罗大陆,59,第42001
2019年,文豪野犬,59,第42001
1997年4月－连载中,精灵宝可梦,59,第42001
2005,STEEL BALL RUN（乔乔的奇妙冒险第7部）,59,第42001
2010年,斗罗大陆,60,第41001
2019年,文豪野犬,60,第41001
1997年4月－连载中,精灵宝可梦,60,第41001
2005,STEEL BALL RUN（乔乔的奇妙冒险第7部）,60,第41001
2018年,总之就是非常可爱,60,第41001
2019年,文豪野犬,61,第40001
1997年4月－连载中,精灵宝可梦,61,第40001
2005,STEEL BALL RUN（乔乔的奇妙冒险第7部）,61,第40001
2018年,总之就是非常可爱,61,第40001
2001年,铳梦Last Order,61,第40001
1997年4月－连载中,精灵宝可梦,62,第39001
2005,STEEL BALL RUN（乔乔的奇妙冒险第7部）,62,第39001
2018年,总之就是非常可爱,62,第39001
2001年,铳梦Last Order,62,第39001
2017年,卫宫家今天的饭,62,第39001
2005,STEEL BALL RUN（乔乔的奇妙冒险第7部）,63,第38001
2018年,总之就是非常可爱,63,第38001
2001年,铳梦Last Order,63,第38001
2017年,卫宫家今天的饭,63,第38001
1999-07-01,火影忍者,63,第38001
2018年,总之就是非常可爱,64,第37001
2001年,铳梦Last Order,64,第37001
2017年,卫宫家今天的饭,64,第37001
1999-07-01,火影忍者,64,第37001
2014,擅长捉弄的高木同学,64,第37001
2001年,铳梦Last Order,65,第36001
2017年,卫宫家今天的饭,65,第36001
1999-07-01,火影忍者,65,第36001
2014,擅长捉弄的高木同学,65,第36001
2019,Fate/Grand Order-turas realta-,65,第36001
2017年,卫宫家今天的饭,66,第35001
1999-07-01,火影忍者,66,第35001
2014,擅长捉弄的高木同学,66,第35001
2019,Fate/Grand Order-turas realta-,66,第35001
2018,乔乔福音（乔乔的奇妙冒险第8部）,66,第35001
1999-07-01,火影忍者,67,第34001
2014,擅长捉弄的高木同学,67,第34001
2019,Fate/Grand Order-turas realta-,67,第34001
2018,乔乔福音（乔乔的奇妙冒险第8部）,67,第34001
2019,异常生物见闻录,67,第34001
2014,擅长捉弄的高木同学,68,第33001
2019,Fate/Grand Order-turas realta-,68,第33001
2018,乔乔福音（乔乔的奇妙冒险第8部）,68,第33001
