name,type,value,date
2019年1月23日,我在皇宫当巨巨,2000,第100
2009,青之驱魔师,2000,第100
1996/7/1,游戏王,2000,第100
2018,全职法师,2000,第100
2008,滑头鬼之孙,2000,第100
2009,青之驱魔师,3000,第99
1996/7/1,游戏王,3000,第99
2018,全职法师,3000,第99
2008,滑头鬼之孙,3000,第99
2011年,秒速5厘米,3000,第99
1996/7/1,游戏王,4000,第98
2018,全职法师,4000,第98
2008,滑头鬼之孙,4000,第98
2011年,秒速5厘米,4000,第98
2014,粗点心战争,4000,第98
2018,全职法师,5000,第97
2008,滑头鬼之孙,5000,第97
2011年,秒速5厘米,5000,第97
2014,粗点心战争,5000,第97
2019/2/28,因为我是开武器店的大叔,5000,第97
2008,滑头鬼之孙,6000,第96
2011年,秒速5厘米,6000,第96
2014,粗点心战争,6000,第96
2019/2/28,因为我是开武器店的大叔,6000,第96
2007-01-01,偷星九月天,6000,第96
2011年,秒速5厘米,7000,第95
2014,粗点心战争,7000,第95
2019/2/28,因为我是开武器店的大叔,7000,第95
2007-01-01,偷星九月天,7000,第95
2019,我才不会被女孩子欺负呢,7000,第95
2014,粗点心战争,8000,第94
2019/2/28,因为我是开武器店的大叔,8000,第94
2007-01-01,偷星九月天,8000,第94
2019,我才不会被女孩子欺负呢,8000,第94
2018/12/14,如果历史是一群喵,8000,第94
2019/2/28,因为我是开武器店的大叔,9000,第93
2007-01-01,偷星九月天,9000,第93
2019,我才不会被女孩子欺负呢,9000,第93
2018/12/14,如果历史是一群喵,9000,第93
2019年1月11日,好人与卡,9000,第93
2007-01-01,偷星九月天,10000,第92
2019,我才不会被女孩子欺负呢,10000,第92
2018/12/14,如果历史是一群喵,10000,第92
2019年1月11日,好人与卡,10000,第92
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,10000,第92
2019,我才不会被女孩子欺负呢,11000,第91
2018/12/14,如果历史是一群喵,11000,第91
2019年1月11日,好人与卡,11000,第91
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,11000,第91
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,11000,第91
2018/12/14,如果历史是一群喵,12000,第90
2019年1月11日,好人与卡,12000,第90
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,12000,第90
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,12000,第90
2019年1月26日,我开动物园那些年,12000,第90
2019年1月11日,好人与卡,13000,第89
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,13000,第89
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,13000,第89
2019年1月26日,我开动物园那些年,13000,第89
2019,英雄?我早就不当了,13000,第89
2019,Fate/Grand Order 命运——冠位指定 电击漫画短篇集,14000,第88
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,14000,第88
2019年1月26日,我开动物园那些年,14000,第88
2019,英雄?我早就不当了,14000,第88
2015,黑色四叶草,14000,第88
2019,Fate/Grand Order 命运——冠位指定 COMIC à la carte,15000,第87
2019年1月26日,我开动物园那些年,15000,第87
2019,英雄?我早就不当了,15000,第87
2015,黑色四叶草,15000,第87
2012-07-01,排球少年!!,15000,第87
2019年1月26日,我开动物园那些年,16000,第86
2019,英雄?我早就不当了,16000,第86
2015,黑色四叶草,16000,第86
2012-07-01,排球少年!!,16000,第86
2006年,妖精的尾巴,16000,第86
2019,英雄?我早就不当了,17000,第85
2015,黑色四叶草,17000,第85
2012-07-01,排球少年!!,17000,第85
2006年,妖精的尾巴,17000,第85
2018,石纪元（Dr.Stone）,17000,第85
2015,黑色四叶草,18000,第84
2012-07-01,排球少年!!,18000,第84
2006年,妖精的尾巴,18000,第84
2018,石纪元（Dr.Stone）,18000,第84
2014年,恋爱禁止的世界,18000,第84
2012-07-01,排球少年!!,19000,第83
2006年,妖精的尾巴,19000,第83
2018,石纪元（Dr.Stone）,19000,第83
2014年,恋爱禁止的世界,19000,第83
2018年12月23日,嫁给一个死太监,19000,第83
2006年,妖精的尾巴,20000,第82
2018,石纪元（Dr.Stone）,20000,第82
2014年,恋爱禁止的世界,20000,第82
2018年12月23日,嫁给一个死太监,20000,第82
2018/11/15,驭灵师,20000,第82
2018,石纪元（Dr.Stone）,21000,第81
2014年,恋爱禁止的世界,21000,第81
2018年12月23日,嫁给一个死太监,21000,第81
2018/11/15,驭灵师,21000,第81
1984-07-01,龙珠,21000,第81
2014年,恋爱禁止的世界,22000,第80
2018年12月23日,嫁给一个死太监,22000,第80
2018/11/15,驭灵师,22000,第80
1984-07-01,龙珠,22000,第80
2019,我的老婆是妲己,22000,第80
2018年12月23日,嫁给一个死太监,23000,第79
2018/11/15,驭灵师,23000,第79
1984-07-01,龙珠,23000,第79
2019,我的老婆是妲己,23000,第79
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,23000,第79
2018/11/15,驭灵师,24000,第78
1984-07-01,龙珠,24000,第78
2019,我的老婆是妲己,24000,第78
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,24000,第78
2018,我的老婆是伪娘,24000,第78
1984-07-01,龙珠,25000,第77
2019,我的老婆是妲己,25000,第77
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,25000,第77
2018,我的老婆是伪娘,25000,第77
1980,魔卡少女樱,25000,第77
2019,我的老婆是妲己,26000,第76
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,26000,第76
2018,我的老婆是伪娘,26000,第76
1980,魔卡少女樱,26000,第76
2004-07-01,家庭教师,26000,第76
2018年,勇者死了！因为勇者掉进了我这个村民挖的陷阱里。,27000,第75
2018,我的老婆是伪娘,27000,第75
1980,魔卡少女樱,27000,第75
2004-07-01,家庭教师,27000,第75
2018/12/14,大唐不断网,27000,第75
2018,我的老婆是伪娘,28000,第74
1980,魔卡少女樱,28000,第74
2004-07-01,家庭教师,28000,第74
2018/12/14,大唐不断网,28000,第74
2018年,名侦探柯南 犯人犯泽先生,28000,第74
1980,魔卡少女樱,29000,第73
2004-07-01,家庭教师,29000,第73
2018/12/14,大唐不断网,29000,第73
2018年,名侦探柯南 犯人犯泽先生,29000,第73
1996,犬夜叉（WIDE版）,29000,第73
2004-07-01,家庭教师,30000,第72
2018/12/14,大唐不断网,30000,第72
2018年,名侦探柯南 犯人犯泽先生,30000,第72
1996,犬夜叉（WIDE版）,30000,第72
2019年,名侦探柯南,30000,第72
2018/12/14,大唐不断网,31000,第71
2018年,名侦探柯南 犯人犯泽先生,31000,第71
1996,犬夜叉（WIDE版）,31000,第71
2019年,名侦探柯南,31000,第71
2018年,化物语,31000,第71
2018年,名侦探柯南 犯人犯泽先生,32000,第70
1996,犬夜叉（WIDE版）,32000,第70
2019年,名侦探柯南,32000,第70
2018年,化物语,32000,第70
2019,妄想学生会,32000,第70
1996,犬夜叉（WIDE版）,33000,第69
2019年,名侦探柯南,33000,第69
2018年,化物语,33000,第69
2019,妄想学生会,33000,第69
2016,致不灭的你,33000,第69
2019年,名侦探柯南,34000,第68
2018年,化物语,34000,第68
2019,妄想学生会,34000,第68
2016,致不灭的你,34000,第68
1998年,全职猎人,34000,第68
2018年,化物语,35000,第67
2019,妄想学生会,35000,第67
2016,致不灭的你,35000,第67
1998年,全职猎人,35000,第67
2019,Back Street Girls后街女孩,35000,第67
2019,妄想学生会,36000,第66
2016,致不灭的你,36000,第66
1998年,全职猎人,36000,第66
2019,Back Street Girls后街女孩,36000,第66
2018年,笨女孩,36000,第66
2016,致不灭的你,37000,第65
1998年,全职猎人,37000,第65
2019,Back Street Girls后街女孩,37000,第65
2018年,笨女孩,37000,第65
2017-06-29,女子学院的男生,37000,第65
1998年,全职猎人,38000,第64
2019,Back Street Girls后街女孩,38000,第64
2018年,笨女孩,38000,第64
2017-06-29,女子学院的男生,38000,第64
2019,放开那个女巫,38000,第64
2019,Back Street Girls后街女孩,39000,第63
2018年,笨女孩,39000,第63
2017-06-29,女子学院的男生,39000,第63
2019,放开那个女巫,39000,第63
2011,鬼灯的冷彻,39000,第63
2018年,笨女孩,40000,第62
2017-06-29,女子学院的男生,40000,第62
2019,放开那个女巫,40000,第62
2011,鬼灯的冷彻,40000,第62
2014-12-19,凹凸世界,40000,第62
2017-06-29,女子学院的男生,41000,第61
2019,放开那个女巫,41000,第61
2011,鬼灯的冷彻,41000,第61
2014-12-19,凹凸世界,41000,第61
2012,终结的炽天使,41000,第61
2019,放开那个女巫,42000,第60
2011,鬼灯的冷彻,42000,第60
2014-12-19,凹凸世界,42000,第60
2012,终结的炽天使,42000,第60
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,42000,第60
2011,鬼灯的冷彻,43000,第59
2014-12-19,凹凸世界,43000,第59
2012,终结的炽天使,43000,第59
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,43000,第59
2001-08-07,境·界（死神）,43000,第59
2014-12-19,凹凸世界,44000,第58
2012,终结的炽天使,44000,第58
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,44000,第58
2001-08-07,境·界（死神）,44000,第58
2019年1月15日,百妖谱,44000,第58
2012,终结的炽天使,45000,第57
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,45000,第57
2001-08-07,境·界（死神）,45000,第57
2019年1月15日,百妖谱,45000,第57
2018年,渡君的XX即将崩坏,45000,第57
2019年1月20日,为了让学姐鼓起干劲，我决定献出我自己,46000,第56
2001-08-07,境·界（死神）,46000,第56
2019年1月15日,百妖谱,46000,第56
2018年,渡君的XX即将崩坏,46000,第56
2011年5月号-2015年3月号,四月是你的谎言,46000,第56
2001-08-07,境·界（死神）,47000,第55
2019年1月15日,百妖谱,47000,第55
2018年,渡君的XX即将崩坏,47000,第55
2011年5月号-2015年3月号,四月是你的谎言,47000,第55
2019年,租借女友,47000,第55
2019年1月15日,百妖谱,48000,第54
2018年,渡君的XX即将崩坏,48000,第54
2011年5月号-2015年3月号,四月是你的谎言,48000,第54
2019年,租借女友,48000,第54
2017-04-19,很纯很暧昧,48000,第54
2018年,渡君的XX即将崩坏,49000,第53
2011年5月号-2015年3月号,四月是你的谎言,49000,第53
2019年,租借女友,49000,第53
2017-04-19,很纯很暧昧,49000,第53
2019年,机动奥特曼,49000,第53
2011年5月号-2015年3月号,四月是你的谎言,50000,第52
2019年,租借女友,50000,第52
2017-04-19,很纯很暧昧,50000,第52
2019年,机动奥特曼,50000,第52
2011-11-07,伪恋,50000,第52
2019年,租借女友,51000,第51
2017-04-19,很纯很暧昧,51000,第51
2019年,机动奥特曼,51000,第51
2011-11-07,伪恋,51000,第51
2018-02-19,阴阳师官方漫画,51000,第51
2017-04-19,很纯很暧昧,52000,第50
2019年,机动奥特曼,52000,第50
2011-11-07,伪恋,52000,第50
2018-02-19,阴阳师官方漫画,52000,第50
2015-07-01,镖人,52000,第50
2019年,机动奥特曼,53000,第49
2011-11-07,伪恋,53000,第49
2018-02-19,阴阳师官方漫画,53000,第49
2015-07-01,镖人,53000,第49
2019,欢迎来到实力至上主义的教室,53000,第49
2011-11-07,伪恋,54000,第48
2018-02-19,阴阳师官方漫画,54000,第48
2015-07-01,镖人,54000,第48
2019,欢迎来到实力至上主义的教室,54000,第48
2017,魔卡少女樱CLEARCARD篇,54000,第48
2018-02-19,阴阳师官方漫画,55000,第47
2015-07-01,镖人,55000,第47
2019,欢迎来到实力至上主义的教室,55000,第47
2017,魔卡少女樱CLEARCARD篇,55000,第47
2004-04,银魂,55000,第47
2015-07-01,镖人,56000,第46
2019,欢迎来到实力至上主义的教室,56000,第46
2017,魔卡少女樱CLEARCARD篇,56000,第46
2004-04,银魂,56000,第46
2010年,斗罗大陆,56000,第46
2019,欢迎来到实力至上主义的教室,57000,第45
2017,魔卡少女樱CLEARCARD篇,57000,第45
2004-04,银魂,57000,第45
2010年,斗罗大陆,57000,第45
2019年,文豪野犬,57000,第45
2017,魔卡少女樱CLEARCARD篇,58000,第44
2004-04,银魂,58000,第44
2010年,斗罗大陆,58000,第44
2019年,文豪野犬,58000,第44
1997年4月－连载中,精灵宝可梦,58000,第44
2004-04,银魂,59000,第43
2010年,斗罗大陆,59000,第43
2019年,文豪野犬,59000,第43
1997年4月－连载中,精灵宝可梦,59000,第43
2005,STEEL BALL RUN（乔乔的奇妙冒险第7部）,59000,第43
2010年,斗罗大陆,60000,第42
2019年,文豪野犬,60000,第42
1997年4月－连载中,精灵宝可梦,60000,第42
2005,STEEL BALL RUN（乔乔的奇妙冒险第7部）,60000,第42
2018年,总之就是非常可爱,60000,第42
2019年,文豪野犬,61000,第41
